,Unnamed: 0,sentence1,sentence2,score
15,15,"For example, the loss or functional impairment of the two major pRB and p53 tumour suppressor proteins cause increased regulation of ribosomal biogenesis in cancerous tissues.","E2F1 stabilizes p53 by inducing the expression of p19(p14)/ARF, a ubiquitin ligase inhibitor mdm2 that targets p53 for proteolysis.",2.0
16,16,"We found no obvious effect of LATS2 depletion on aurora-A kinase activity when monitored by the phosphorylation status of Thr288 on Aurora-A [18] (fig. S2), suggesting that LATS2 may be downstream of Aurora-A as mentioned in a previous report [8]","Among them, miR-143, miR-145 and miR-34a have been shown to inhibit cell proliferation, and miR-146a and miR-21 have been shown to increase cell growth.",0.2
17,17,In vivo data are still preliminary and other potential barriers such as drug resistance have not been examined.,The GEM model used in this study retains wild type Tp53 suggesting that tumours successfully treated with bortezomib and fascidil may not be as aggressive as those of most patients with NSCLC.,0.0
18,18,"Recently, miR-126 has been identified as a metastasis that suppresses miRNA and is deregulated in breast cancer, leukemia and cervical cancer.",Subsequent reports showed that miR-126 was for IRS-1 oncogen (insulin-receptor substrate) in breast cancer cells and that miR-126 was deregulated in cervical cancer.,3.2
19,19,In view of the evidence that many tumours occurring in nature come from the selection of cells with genetic and/or epigenetic changes.,"The neoplastic development and neoplastic transformation phenomena, whether occurring in vivo or in vitro, are supposed to represent the accumulation of a series of genetic and epigenetic alterations that disrupt normal processes of cell division and tissue integrity.",3.0
20,20,"They identified that some genes involved in RHO-related signaling pathways were occupied by GATA2 in mutant, but not wild, KRAS tumour cells.",The researchers combined the available selective inhibitors for two of the GATA2-regulated routes to treat mice with Kras-led NSCLCs,2.0
21,21,These results were identical to the pattern of expression observed in acute lymphoid and human myeloid leukemias with MLL rearrangements.,These genes are consistently expressed in leukemias with MLL rearrangements.,3.6
22,22,"Several calculation target prediction methods, such as TargetScan, PicTar, miRanda, PITA, DIANA-microT and RNA hybrid, have been developed to predict target genes.","Three programs, PicTar, miRanda and TargetScan, were used to predict miR-21 targets.",2.4
23,23,"In addition, genetic and functional studies suggest that neomorphic mutations of IHD contribute to myeloid transformation, at least in part, by inhibiting the enzyme function of TET.","In addition, increased regulation of miR-24 has also been observed in gastric and cervical cancers.",0.2
24,24,"Some studies have reported control of PCA/C by genotoxic stress in mammalian cells, ionizing radiation activated PCA/C to degrade cycline D1, triggering an immediate arrest of independent p53 G1.","In fact, genotoxic stresses such as ionizing radiation have been shown to trigger rapid proteolysis of cycline D1, leading to G1 shutdown independent of p53.",3.8
25,25,"Since S. cerevisiae DBF2 showed progression of anaphase and/or telophase, we examined whether removal of kinase would also affect cell cycle progression in N. crassa.","In view of the role that DBF2 counterparts play in cell cycle progression, a predominant location of DBF-2 in N.crassa is expected.",2.0
26,26,"In many tumours, there is either an overexpression of oncogenic miRNA (e.g. miR-155, miR-17-5p and miR-21) or a deregulation of tumour suppressor miRNA (e.g. miR-34, miR-15a, miR-16-1 and let-7).","Note that miR-373 has already been identified as a potential oncogene (with miR-372) in testicular germ cell tumours, although it has been proposed that the prometastatic and oncogenous properties of this miRNA are due to the regulation of different genes (CD44 and LATS2, respectively).",1.8
27,27,"In lung tumours, levels of TRAF6 may be elevated by several mechanisms:",GATA2lox/lox Sporadic infection of lung cells with Adeno-Cre virus GATA2 loss induces regression of established tumours,1.4
28,28,"This form of necrosis, also known as necroptosis, requires the activity of protein kinase 1 (RIP1) that interacts with receptors and its related kinase, RIP3","The TNF-mediated programmed necrosis usually involves serine-threonine kinases 1 and 3 interacting with receptors (RIP1 and RIP3), as evidenced by human, mouse and zebra cell lines, as well as the murine septicaemia model.",3.0
29,29,"The oncogenic activity of the Kras mutant appears to be dependent on the functional Craf, but not on the Braf.","In particular, c-Raf has recently been considered essential for the development of K-Ras-led NSCLCs",3.0
30,30,The increased regulation of miR-146a was also detected in cervical cancerous tissues.,MiR-146a has been shown to be regulated in cervical cancer.,4.0
31,31,"Unique segments of homologous sequences in RIP1 and RIP3 (grounds for homotypical RIP interactions, RHIMs) have been shown to mediate their interaction.",It was reported that RIP1 was involved with RIP3.,3.4
32,32,"For the analysis of expression at different stages of differentiation, data were obtained for 43 mouse samples in StemBase from 16 studies of Affymetrix MOE430A microarray chips used in a October 4th expression profiling study involving murine ESCs, embryonic carcinoma cell lines and several differentiated early lines.","We studied patterns of Oct4-associated data expression in cells at different stages of differentiation, including embryo carcinoma, embryonic stem cells, embryonic bodies, and various types of differentiated cells, on the basis of transcriptomic data.",3.6
33,33,"We, and others, have recently described the inducible-Kras*p53+/- mouse model (iKras*p53+/-) of pancreatic cancer, which allows the specific, inducible and reversible expression of the Kras mutant in combination with a loss of allele function of the tumour suppressor p53.","There is some variability in these results: for example, metastatic potential was described by other groups using KC or iKras* mice associated with a loss of p53 function allele.",3.0
34,34,"• Increased regulation of miR-24 has been observed in a number of cancers, including SOC.","In addition, miR-24 is one of the most abundant miRNAs in cervical cancer cells, and it would be regulated upwards in solid stomach cancers.",3.0
35,35,"This form of necrosis, also known as necroptosis, requires the activity of protein kinase 1 (RIP1) that interacts with receptors and its related kinase, RIP3","In addition, other reports have also shown that necropotosis can be induced by RIP1 and RIP3 modulation.",4.0
36,36,"The neoplastic development and neoplastic transformation phenomena, whether occurring in vivo or in vitro, are supposed to represent the accumulation of a series of genetic and epigenetic alterations that disrupt normal processes of cell division and tissue integrity.",The neoplastic development represents cumulative genetic and epigenetic events leading to the emergence of cells that can reach a tumorigenic phenotype.,3.0
37,37,These models facilitated the identification of oncogenic candidate genes and tumour suppressors,The development of RNAi reagent genome-wide libraries facilitated approaches to loss of function in mammalian cells that identified tumour-suppressive candidate genes,2.6
38,38,"Recently, it has been reported that expression of IDH1R132H suppresses TET2 activity and that mutations of IDH1 and IDH2 genes occur in a mutually exclusive manner with that of the TET2 gene in AML.","This large-scale study showed that IDH1/IDH2 mutations were mutually exclusive with the inactivation of TET2 mutations, suggesting that both mutations had similar effects and were therefore functionally redundant.",3.2
39,39,Tumorigenesis is a multi-stage process involving several types of cells.,"Previous studies have suggested a number of characteristic functions that need to be acquired for cancer to generate, helping researchers understand the complexity of tumour progression in a logical, scientific way.",1.0
40,40,"To clarify the roles of miRNA in erythropoiesis, four miRNAs were selected (miR-155, miR-221, miR-223 and miR-451) because their expression seems relevant to haematopoiesis.","In myelopoiesis, miR-223 has been shown to regulate granulocyte development in humans and mice.",2.0
41,41,"For the suppression of Sox11 by miR-204, the Neuro-2a cells (ATCC) were grown on blankets in 24-well plates for 24 h, then co-transfected with 500 ng of pCAG-GFP expression plasmid and 500 ng of scrambled miRVec expression plasmid or miR-204-miRVec containing miR-204 pre-RNA",Co-transfection of miRVec-miR-204 and Renilla-3′ UTR plasmid was observed in HEK293T cells with TransIT-LT1 (Mirus) transfection reagent,1.8
42,42,"In addition, the removal of Erk1 and Erk2 disrupted tumour development, while the inactivation of either alone had no effect.",Only concomitant removal of ERK1 and ERK2 harms tumour growth.,4.0
43,43,"Importantly, the role of ERK phosphorylation in Kras-led NSCLCs has recently been highlighted by the demonstration that ERK activity is essential for Kras-led pulmonary tumorigenesis.","As mentioned above, strong ERK activity is crucial for the development of Kras-led NSCLCs.",3.4
44,44,"In spite of these warnings, the research results represent a very important step forward in the long-standing struggle to defeat lung cancer.",We should consider research data as an interesting but early step in the long process of drug discovery.,0.8
45,45,"The mammalian Arp, BAF53 (BRG-associated factor) and actin β were first found as components of the SWI/SNF BAF chromatin remodeling complex.","In addition, BAF53 and actin associated with Arp4 are components of the SWI/SNF human complex and could play a role in its binding to nuclear chromatin/matrix.",3.4
46,46,"At the beginning of mitosis, LATS2 was activated by phosphorylation and played an important role in the G2/M transition in cultured cells.",Lats2/Kpm is Lats1 homologous and undergoes cell cycle-dependent phosphorylation.,3.0
47,47,The octa-4-dependent transcriptional networks that regulate self-renewal and pluripotence in human ES and EC cells and human mesenchymal cells have been described.,A study reported an increase in the regulation of this miR as revealed by qRT-PCR while a sequencing approach and microarray analysis indicated a suppression of miR-133b in tumour tissues.,0.6
48,48,BAF53 and β-actin subunits were involved in binding to the chromatic/nuclear matrix of mammalian IBS/PNF.,"In addition, BAF53 and actin associated with Arp4 are components of the SWI/SNF human complex and could play a role in its binding to nuclear chromatin/matrix.",3.8
49,49,"In addition, INPP4B was identified from a collection of RNAis to give rise to independent growth of anchoring in human breast epithelial cells (HMEC)","On the other hand, RASA4/CAPRI (RAS p21 protein activator 4), a suppressor of epithelial cell transformation, functions as a Ca(2+)-dependent protein 0 (GAP) of Ras GTPase to inactivate the Ras-MAPK pathway after a stimulus that raises intracellular calcium",0.6
50,50,"The overall accuracy of our gene expression classifier was ~88%, and all T-ALL, TEL-AML1-positive, hyperdiploid, and E2A-reorganized cases were properly classified (i.e. 100% sensitivity) that resembled the previously reported data using other strategies for the selection of probe sets and the construction of the classifier.","One gene that justifies other studies is the erythropoietin receptor, which is 7.4 times higher in positive cases of TEL-AML1 than in other B-ALL precursor cases confirming other genetic expression classification studies.",2.0
51,51,"As p16INK4a blocks pRb inactivation by cycline-dependent kinases, and Arf blocks p53 inactivation by Mdm2-mediated proteolysis, both have the ability to cause cell cycle cessation.","By inducing Arf and Ink4a in primary rodent fibroblasts, the expression of Ras oncogene leads to growth cessation and premature senescence.",2.4
52,52,Several lines of evidence suggest that the main RB lesions known in human tumours act mutually exclusively.,"In individual human tumour samples, these main components of the pathway –RB-CDK4/6-p16INK4A – would be targeted in a mutually exclusive manner.",3.4
53,53,Recent in vitro studies using hRNA approaches have suggested a role for TET2 in the regulation of myeloid differentiation and in the regulation of stem cell/progenitor proliferation.,Two recent studies have used in vitro RNAi-mediated Tet2 to suggest that depletion of TET2 has led to altered haematopoietic differentiation and preferential myeloid engagement.,3.2
54,54,"This oxidative branch activity is high compared to many cancerous cell lines, where the oxidative branch is generally reduced and accounts for less than 20% of the carbon flux in the PPP.",The Downward laboratory has moved from the identification of GATA2 as a new synthetic lethal gene to validation using Kras-driven GEM models.,0.0
55,55,"The activated Ras will transform established lines, such as NIH3T3 cells, causing growth cessation similar to senescence in primary cells.","Furthermore, oncogenes such as H-RASV12 cause a stress reaction in primary cells that results in an irreversible interruption of growth, called premature senescence.",3.0
56,56,These cells (hereinafter referred to as TLM-HMEC) are immortal but do not proliferate in the absence of an extracellular matrix (ECM),"The HMEC expressing hTERT and SV40 LT (TLM-HMEC) were grown in a breast epithelial growth medium (MEGM, Lonza)",1.4
57,57,Previous studies have shown that the decrease in the level of 5 hmC in tumours was due to decreased expression of TET1/2/3 and IDH2 genes or IDH1 and IDH2 mutations derived from tumours.,"In addition, genetic and functional studies suggest that neomorphic mutations of IHD contribute to myeloid transformation, at least in part, by inhibiting the enzyme function of TET.",2.2
58,58,"A number of studies have identified unbiased strategies to treat mutant cancers of KRAS by RNA interference screens, including inhibition of TAK1, STK33, TBK1, WT1, GATA2 and BCL-XL/MEK.","This would also allow the use of inhibitors that target a single normal protein on which tumour cells, in particular, depend following mutation in a defined pathway.",1.4
59,59,"Three programs, PicTar, miRanda and TargetScan, were used to predict miR-21 targets.",The genes that decreased twice or more were then selected for potential target sites miR-372/3 using a local version of the TargetScan algorithm.,2.4
60,60,"The Retinoblastoma protein, pRb, was among the first recognized tumor suppressant proteins, and loss or suppression of pRb function is expected to play a causal role in most human cancers.",The tumour susceptibility gene mutation of retinoblastoma (RB1) is the rate-limiting step in retinoblastoma genesis and more than 90% of human tumours have reduced pRB function.,3.0
61,61,"More recently, HDI mutations and the resulting production of 2-hydroxyglutarate (2HG) in leukemic cells have been reported to induce overall DNA hypermethylation by alteration of the catalytic function of TET2.","It has also recently been reported that mutations in IDH1 and IDH2 genes of isocitrate dehydrogenase may lead to the aberrant production of 2-hydroxyglutarate (2-HG), a metabolite that inhibits the enzyme activity of TET2, resulting in a phenotype of the hypermethyl promoter in acute myeloid leukaemia (AML) tumours with IDH1/2 mutations.",3.2
62,62,Necrotic death was increased when caspase activities were compromised by viral or chemical inhibitors.,"In the presence of caspase inhibitors or after the removal of the caspase-8 gene, death receptors have recently been shown to induce necrotic cell death, a process dependent on the kinase activity of RIPK1 and RIPK3",2.8
63,63,The cycline-dependent kinase inhibitor (CDK) roscovitin has been reported to deregulate the anti-apoptotic protein Mcl-1,Recent work in model systems and acute myelogenic leukemia suggested that expression of MCL-1 is a key determinant of ABT-737 resistance.,2.0
64,64,"However, it has been shown that ubiquitination of cycline D1 can occur effectively after phosphorylation of another site, or without the apparent phosphorylation requirement.","The PCA-dependent degradation of cycline D1 does not require the phosphorylation of threonine 286, but the presence of a cycline degradation box, as observed in this study, the phosphorylation of threonine 286 is essential to the proteolytic degradation of cycline D1 in the skin.",3.0
65,65,"Ironically, rest has recently been described as both a tumour suppressor and an oncogene.","In human epithelial cells, REST has been described as a potent inhibitor of malignant transformation and its deregulation has been associated with several non-neural tumours, including breast and small cell lung cancers.",3.2
66,66,"In PC9 cells, the loss of GATA6 and/or HOPX did not affect cell growth, while the reduction of GATA2 and EGFR inhibited cell viability as previously indicated.",It has been shown that the activities of many regulatory factors at checkpoints are lost or stopped during the tumorigenesis process.,0.2
67,67,MiR-223 appears to be a target TF molecule regulating granulopoiesis.,"In a number of animals, feedback loops in which a transcription factor regulated by miRNA regulates the transcription of its micognized RNA have been described.",1.2
68,68,BAF53 and β-actin subunits were involved in binding to the chromatic/nuclear matrix of mammalian IBS/PNF.,β-actin and actin-bound proteins were found in the various ATP-dependent chromatin remodelling complexes,3.0
69,69,"All known EMFs reconfigure the nucleotide binding pocket, often opening it by reorganizing switching regions.",One feature of the EGF is its strong preference for binding-free GTPases over nucleotide-loaded GTPases.,2.0
70,70,"The changes in the expression of Oct-4 favour differentiation and lead to the specification of primitive ectodermal, endodermal or mesodermal progeny.","In addition, the expression of OCT4 and SOX2 has been shown to affect early differentiation genes such as SOX-17 expression.",1.8
71,71,"In addition, a very recent study has demonstrated the mechanism that specifies the myeloid expression of miR-223 and has proposed a single -minicircuitry-composed of miR-223 and transcription factors, NFI-A and CAAT binding protein α (C/EBPα)",MiR-223 regulates granulopoiesis by a feedback mechanism and is competitively modulated by the transcription factors I/A (NFI-A) and the protein-α (C/EBPα) of CCAAT/enhancer binding.,3.4
72,72,"The formation of lung tumours in mice by oncogenous KRAS requires CRAF, but not BRaf.","The oncogenic activity of the Kras mutant appears to be dependent on the functional Craf, but not on the Braf.",3.4
73,73,"With respect to LATS2, it has been reported that LATS2 causes the arrest of G2/M and the death of apoptotic cells.","MiR-146a expression was regulated in papillar thyroid carcinoma, anaplastic thyroid cancer, and cervical cancer.",0.2
74,74,There is considerable evidence that cancer cells develop dependencies on the normal functions of certain genes that can potentially be used to improve therapeutic strategies.,"In the case of a cellular response to stress, cycline D1 may be degraded by its binding to the anaphase promotion complex and to an RXXL sequence located in the NH2 terminal part of the protein.",0.0
75,75,"Therefore, miRNA has been shown to act either as oncogenes (e.g. miR-155, miR-17−5p and miR-21), or as tumour suppressors (e.g. miR-34, miR-15a, miR-16−1 and let-7).","The extent to which miRNAs specifically affect metastases is still unclear, as all miRNAs affecting metastases also have potentially confounding influences on primary tumour development, apoptosis and/or cell proliferation.",2.8
76,76,"Recently, it has been reported that expression of IDH1R132H suppresses TET2 activity and mutations of IDH1 and IDH2 genes occur in a mutually exclusive manner with that of the TET2 gene in AML.","The mechanism was clarified by another genomic study, this time involving acute myelogenic leukaemia (AML).",1.6
77,77,A recent study has highlighted the importance of GATA2 transcriptional network in RAS oncogen-controlled NSCLC and suggested effective combinations targeting proteasome as well as IL-1 and Rho signalling.,"In addition, the anaphase promotion complex (APC) is responsible for the rapid degradation of cycline D1 in irradiated cells by ionizing radiation.",0.2
78,78,"The changes in the expression of Oct-4 favour differentiation and lead to the specification of primitive ectodermal, endodermal or mesodermal progeny.","OCT4, a transcription of POU5F1, plays a role in maintaining the pluripotence of stem cells, self-renewal and chromatic structure in stem cells, and promotes dose-dependent tumour growth.",1.6
79,79,"In myelopoiesis, miR-223 has been shown to regulate granulocyte development in humans and mice.","As previously seen, miR-223 is highly conserved, and its myeloid-specific expression is as well characterized in humans as in mice.",3.6
80,80,"Changes in the expression and/or binding of miR-146a and miR-146b were also involved in the metastatic and proliferative response associated with the development of papillary thyroid carcinoma (PCC) and cervical cancer, ovarian cancer, breast cancer, and pancreas cancer, and prostate cancer.","In addition, the loss of LATS2 stimulated replication, an activity comparable to that observed when Cycline E was overexpressed in the absence of p53",0.2
81,81,The expression of an activated form of Ras proteins can induce senescence in some primary fibroblasts.,It was observed that senescence was inducible in some cells grown in response to high-level expression of genes such as ras oncogene activated.,3.6
82,82,"To directly measure the effect of endogenous Dnd1 on the activity of the endogenous miR-372, we used sensor molecules containing the luciferase gene under the control of LATS2-3′UTR wild type or mutant at the 372 target sites.",The 3′UTR of p27 and connexine-43 were amplified by PCR from genomic DNA and cloned in pGL3 (Promega) downstream of the luciferase gene; the LATS2 3′UTR-bearing structures were described.,1.8
83,83,"Recently, miR-126 has been identified as a metastasis that suppresses miRNA and is deregulated in breast cancer, leukemia and cervical cancer.","MiR-155 is regulated in several human tumours, such as chronic lymphocyte leukemia, melanoma, squamous head and neck carcinoma, limpid kidney cancer, hepatocellular carcinoma, lymphoma, thyroid carcinoma), breast cancer, colon cancer, cervical cancer, pancreatic cancer, and lung cancer.",2.0
84,84,Centrosomes increase both in size and in nucleation capacity of microtubules just prior to mitotic entry.,"Functional studies have shown that when introduced into cell lines, miR-146a promotes cell proliferation in cervical cancer cells, suggesting that miR-146a acts as an oncogenous microRNA in these cancers.",0.0
85,85,"Third, human Wts2 is a phosphorylation target for Aurora-A kinase, and this phosphorylation plays a role in regulating the centrosome location of hWts2 (Toji et al. 2004).","As with PLK1, Aurora-A activity is required for the enrichment or localization of multiple centrosome factors that have maturation roles, including LATS2 [22] and CDK5RAP2/Cnn [23] (see [10] for an examination)",1.2
86,86,The expression of an activated form of Ras proteins can induce senescence in some primary fibroblasts.,"However, when expressed alone in primary cells, Ras oncogene induces premature senescence, a putative tumour suppressive mechanism to protect against uncontrolled proliferation.",3.0
87,87,"In addition to these 28 regulated OCT4 genes, Oct4-OETN included 8 additional genes from a recently published list of OCT4 related transcripts expressed in ESC.","Nearly half (37) of Oct4-OETN genes are known to Oct4 Companions in ESCs, their expression being directly regulated or correlated with Oct4.",2.8
88,88,"The miR-Vec constructions were described previously, and the Dnd1 free reading frames were cloned as described in a pCS2-based CMV expression vector to contain a double carboxy-terminal HA label.","The pMSCV-blastic-miR plasmids, containing either the human mirNA hsa-miR-376a1 or the control mirNA (hTR human telomerase RNA), have been constructed as described above.",1.0
89,89,"Therefore, the expression of the K-Ras mutant alone is sufficient to induce malignant progression, whereas the elimination of the K-Ras mutant from established tumours leads to tumour regression.",The results of the research represent a very important step forward in the long-standing struggle to defeat lung cancer.,0.2
90,90,"In a previous study in a mouse model of pancreatic ductal adenocarcinoma dependent on KRAS, KRAS oncogene has been shown to induce nucleotide biosynthesis largely through improvement of the nonoxidative branch of PPP.",Previous results have shown that Ras oncogene raises the synthesis of ribonucleotide largely through the non-oxidative branch of PPP.,3.2
91,91,The increased regulation of miR-146a was also detected in cervical cancerous tissues.,"As with PLK1, Aurora-A activity is required for the enrichment or localization of multiple centrosome factors that have maturation roles, including LATS2 and CDK5RAP2/Cnn.",0.2
92,92,Oncogenic mutations of KRAS are common in cancer.,"In particular, c-Raf has recently been considered essential for the development of K-Ras-led NSCLCs.",1.8
93,93,MiR-223 regulates granulopoiesis by a feedback mechanism and is competitively modulated by transcription factors of factor I/A (NFI-A) and protein-α (C/EBPα).,Animal systems are increasingly showing that the transcription factors regulated by miRNA frequently regulate the transcription of their micognised RNA.,1.8
94,94,"Importantly, the fall of Gfpt1 by RNAi reduced overall O-GlcNAcylation and blocked tumour growth induced by KrasG12DA in vitro and in vivo.",GFPT1 is the enzyme limiting the rate in HBP and has been identified as an important factor in Kras-led pancreatic channel adenocarcinoma (PDAC),2.2
95,95,Necroptosis is also part of the host's defense against viral infection.,Necrotic death was increased when caspase activities were compromised by viral or chemical inhibitors.,2.0
96,96,"GATA2 is also of considerable interest; genetic ablation leads to tumour regression in mouse models of lung adenocarcinoma, and while this transcription factor may seem to be the least addicted target, its role in the regulation of proteasome suggests therapeutic approaches that appear to be very promising.","The GATA2 transcription factor, essential for the development of Kras-dependent oncogenic lung tumours, binds to the TRAF6 promoter and improves its expression.",1.8
97,97,A high percentage of tumour cells with immortalized characteristics show the activity of telomerase and it has been suggested that hTERT expression may be one of the six key events common to cancer.,"As a serine/threonine protein kinase, AKT works by phosphorylating key intermediate signaling molecules, resulting in increased cell metabolism, cell growth, cell survival, and cell invasiveness.",1.4
98,98,"The researchers examined human NSCLC cell lines carrying wild KRAS or mutating with an iRNA library against 7,000 human genes.","Recently, it has been shown that Gata2 plays such a role in the NSCLC induced by Kras mutant.",1.8
99,99,"The inhibitor of Bcl-2 ABT-737 induces the regression of solid tumours and their derivatives are in the early clinical phase as cancer treatments; however, it targets Bcl-2, Bcl-XL, and Bcl-w, but not Mcl-1, which induces resistance against apoptotic cell death triggered by ABT-737.","Recently, it has been reported that ABT-737 is not cytotoxic to all tumour cells, and that ABT-737 chemotheresis is dependent on appreciable levels of Mcl-1 expression, one of the Bcl-2 family members that it does not effectively inhibit.",3.0
